Period,Company Name,company contact,company email,company phone,Address,City,State,Postcode,Industry,Industry descr,Company Type,Current fulltime,Job created,Job retain,Effective Date,Total Savings,Savings from beginning receiving benefits,Gas Savings,Cogen savings,Electric Savings,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
FY2018,"139 ACA Realty, Inc.",Eitan Chandally,barbara@dial7.com,7187076123,43-23 35th Street,Long Island City,NY,11101,Commercial,Limousine Service,ICIP,125,,,04/07/2008,"8,314.92","123,975.24",,,,QUEENS,40.745706,-73.929565,402,26,4003160,4002220017,17902,QN0202
FY2018,"141 Lake Avenue Realty c/o JR Produce, Inc.",Josef Raz,jrproduce@gmail.com,7183708782,141 Lake Avenue,Staten Island,NY,10303,Wholesale/Warehouse/Distribution,Dist. of prepacked salads,ICIP,6,,,12/08/2009,"6,010.71","47,512.89",,,,STATEN IS,40.632845,-74.151048,501,49,5146740,5011610020,239,SI0107
FY2018,14-10 123rd Street LLC,Danica/Ivan Drazic,ddrazic@atjelectrical.com,7183210117,14-10 123rd Street,College Point,NY,11356,Commercial,Electrical Parts Mfg.,ICIP,35,,,03/04/2011,"2,946.05","21,322.89",,,,QUEENS,40.785144,-73.844833,407,19,4098344,4040850036,929,QN0701
FY2018,183 Lorriane Street LLC,Tom Sapienza,tsapienza@KLCNY.com,2128405588,183 Lorraine Street,Brooklyn,NY,11231,Wholesale/Warehouse/Distribution,Commercial Storage facility,ICIP,9,,,11/06/2015,"48,981.51","105,016.49",,,,BROOKLYN,40.673106,-74.0023,306,38,3336622,3005720001,5302,BK0601
FY2018,"21st Century Optics, Inc.",Ralph Woythaler,rwoythaler@21st centuryoptics.com,7183922310,47-00 33rd Street,Lond Island City,NY,11101,Manufacturing,Eye glasses,Tenant,130,,,01/07/2009,"36,400.37","215,757.2",,,,QUEENS,40.742386,-73.932148,402,26,4003447,4002520018,19901,QN0202
FY2018,221 WEST 26TH STREET CORP.,Eric Duke,eduke@amvchelsea.com,2127271234,221 WEST 26TH STREET,New York,NY,10001,Manufacturing,FILM & VIDEO PRODUCTION,ICIP,120,,240,12/14/2004,"13,582.13","964,718.7",,,,MANHATTAN,40.746479,-73.995359,105,3,1014235,1007760021,95,MN0501
FY2018,"24-60 47TH STREET, LLC",CHRISTINE MOONEY,,2128222236,24.60 47TH STREET,Queens,NY,11103,Manufacturing,MFG RESTORER RESTORER,ICIP,44,,44,09/08/2004,989.1,"122,798.92",,,,,,,,,,,,
FY2018,2840 Atlantic Avenue Realty Corp,Donald Marchese,Edgeinc@hotmail.com,7186477500,2840 Atlantic Avenue,Brooklyn,NY,11207,Commercial,Real estate holding company,ICIP,30,,,06/16/2008,"1,428.61","105,702.57",,,,BROOKLYN,40.676789,-73.889346,305,37,3428817,3039640008,1198,BK0502
FY2018,33RD STREET BAKERY INC. DBA PQ SOHO,Joseph Castellane,jcastellane@pqus.com,2123599000,43-32 33RD STREET,Long Island City,NY,11101,Manufacturing,WHSLR. BREADS & PASTRY,ICIP,59,,,04/08/2009,"-1,396.18","14,272.57",,,,QUEENS,40.745811,-73.931466,402,26,4003432,4002440045,17902,QN0202
FY2018,4C FOODS CORP.,Wayne Celauro,wayne@4c.com,7182724242,580 Fountain Ave.,Brooklyn,NY,11208,Manufacturing,"Iced tea mic, brad crumbs, grated cheese, dehydrated soup mix and seasoned coating mix",ICIP,53,40,262,03/19/2005,"21,130.97","1,079,560.02",,,,BROOKLYN,40.665752,-73.871121,305,42,3098855,3045040019,1116,BK0503
